FileName,Point,X,Y
P1116384.svg,A,1769.0,-1440.0
P1116384.svg,B,2531.585,-1411.382
P1116384.svg,C,2771.866,-1432.454
P1116384.svg,D,2869.0,-1636.0
P1116385.svg,A,1807.0,-1508.0
P1116385.svg,B,2703.83,-1392.419
P1116385.svg,C,2906.502,-1570.939
P1116385.svg,D,2972.0,-1724.0
P1116386.svg,A,1770.0,-1474.0
P1116386.svg,B,2726.864,-1345.054
P1116386.svg,C,2890.383,-1486.048
P1116386.svg,D,2933.0,-1662.0
P1116387.svg,A,1881.0,-1543.0
P1116387.svg,B,2758.596,-1435.224
P1116387.svg,C,2925.741,-1519.514
P1116387.svg,D,2940.0,-1639.0
P1116388.svg,A,1810.0,-1560.0
P1116388.svg,B,2591.672,-1491.97
P1116388.svg,C,2809.906,-1517.259
P1116388.svg,D,2845.0,-1661.0
P1116389.svg,A,1758.0,-1557.0
P1116389.svg,B,2552.616,-1507.836
P1116389.svg,C,2694.079,-1517.437
P1116389.svg,D,2814.0,-1649.0
