FileName,Point,X,Y
P1116384.svg,A,1524.0,-1696.0
P1116384.svg,B,1988.144,-1307.95
P1116384.svg,C,2041.39,-2287.095
P1116384.svg,D,2866.0,-1669.0
P1116385.svg,A,1612.0,-1765.0
P1116385.svg,B,2107.744,-1322.399
P1116385.svg,C,2146.318,-2308.541
P1116385.svg,D,2967.0,-1758.0
P1116386.svg,A,1540.0,-1698.0
P1116386.svg,B,1934.986,-1428.174
P1116386.svg,C,2216.537,-2262.865
P1116386.svg,D,2929.0,-1670.0
P1116387.svg,A,1629.0,-1747.0
P1116387.svg,B,1962.632,-1471.746
P1116387.svg,C,2306.927,-2295.27
P1116387.svg,D,2939.0,-1662.0
P1116388.svg,A,1592.0,-1745.0
P1116388.svg,B,2017.176,-1494.071
P1116388.svg,C,2213.455,-2275.073
P1116388.svg,D,2834.0,-1702.0
P1116389.svg,A,1628.0,-1723.0
P1116389.svg,B,2000.683,-1455.798
P1116389.svg,C,2220.693,-2345.066
P1116389.svg,D,2826.0,-1750.0
P1116536.svg,A,1856.0,-1787.0
P1116536.svg,B,2349.084,-1714.072
P1116536.svg,C,2543.806,-1960.389
P1116536.svg,D,2782.0,-1704.0
P1116540.svg,A,1747.0,-1814.0
P1116540.svg,B,2104.253,-1713.995
P1116540.svg,C,2198.069,-1968.895
P1116540.svg,D,2633.0,-1700.0
P1116578.svg,A,1835.0,-1838.0
P1116578.svg,B,2294.944,-1675.641
P1116578.svg,C,2518.452,-1979.736
P1116578.svg,D,2797.0,-1687.0
P1116579.svg,A,1781.0,-1810.0
P1116579.svg,B,2227.639,-1676.278
P1116579.svg,C,2469.447,-1996.089
P1116579.svg,D,2720.0,-1689.0
P1116588.svg,A,2005.0,-1760.0
P1116588.svg,B,2238.347,-1557.054
P1116588.svg,C,2288.797,-1902.953
P1116588.svg,D,2650.0,-1676.0
P1116590.svg,A,1817.0,-1818.0
P1116590.svg,B,2333.79,-1686.055
P1116590.svg,C,2397.586,-1974.997
P1116590.svg,D,2732.0,-1673.0
P1116591.svg,A,1925.0,-1789.0
P1116591.svg,B,2390.794,-1655.452
P1116591.svg,C,2306.255,-2021.566
P1116591.svg,D,2797.0,-1717.0
P1116592.svg,A,1695.0,-1795.0
P1116592.svg,B,2070.622,-1590.314
P1116592.svg,C,2261.086,-1897.287
P1116592.svg,D,2575.0,-1663.0
P1116597.svg,A,1817.0,-1770.0
P1116597.svg,B,2104.793,-1607.281
P1116597.svg,C,2192.792,-1918.281
P1116597.svg,D,2490.0,-1689.0
P1116598.svg,A,1939.0,-1905.0
P1116598.svg,B,2317.664,-1869.261
P1116598.svg,C,2403.611,-2111.621
P1116598.svg,D,2834.0,-1786.0
P1116599.svg,A,1904.0,-1910.0
P1116599.svg,B,2456.636,-1687.058
P1116599.svg,C,2110.248,-2110.892
P1116599.svg,D,2910.0,-1816.0
P1116641.svg,A,1942.0,-1808.0
P1116641.svg,B,2285.778,-1618.428
P1116641.svg,C,2363.646,-1936.005
P1116641.svg,D,2928.0,-1684.0
